cwe_id	name	cve_count	avg_score	max_score
470	Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection')	46	8.01	10.0
178	Improper Handling of Case Sensitivity	46	6.66	9.9
1285	Improper Validation of Specified Index, Position, or Offset in Input	46	7.35	9.8
277	Insecure Inherited Permissions	46	6.54	9.8
340	Generation of Predictable Numbers or Identifiers	46	7.39	9.8
653	Improper Isolation or Compartmentalization	46	6.19	9.8
1395	Dependency on Vulnerable Third-Party Component	44	7.71	10.0
524	Use of Cache Containing Sensitive Information	43	5.46	9.6
405	Asymmetric Resource Consumption (Amplification)	43	6.80	8.7
548	Exposure of Information Through Directory Listing	43	5.88	8.7
1391	Use of Weak Credentials	42	7.85	9.8
940	Improper Verification of Source of a Communication Channel	41	7.19	10.0
170	Improper Null Termination	41	6.58	9.9
297	Improper Validation of Certificate with Host Mismatch	41	6.58	9.1
506	Embedded Malicious Code	40	9.00	10.0
378	Creation of Temporary File With Insecure Permissions	40	6.43	9.6
274	Improper Handling of Insufficient Privileges	39	7.00	9.9
805	Buffer Access with Incorrect Length Value	39	6.94	9.1
917	Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection')	38	8.26	10.0
636	Not Failing Securely ('Failing Open')	38	6.66	9.8
825	Expired Pointer Dereference	38	6.88	9.8
440	Expected Behavior Violation	38	5.99	9.1
1004	Sensitive Cookie Without 'HttpOnly' Flag	38	6.18	8.8
672	Operation on a Resource after Expiration or Release	37	6.11	9.2
183	Permissive List of Allowed Inputs	36	6.80	10.0
302	Authentication Bypass by Assumed-Immutable Data	36	7.37	10.0
420	Unprotected Alternate Channel	36	6.84	10.0
261	Weak Encoding for Password	36	6.69	9.8
1393	Use of Default Password	34	8.23	10.0
696	Incorrect Behavior Order	34	5.82	8.8
92	DEPRECATED: Improper Sanitization of Custom Special Characters	34	5.87	8.8
272	Least Privilege Violation	33	7.26	10.0
424	Improper Protection of Alternate Path	33	6.58	10.0
349	Acceptance of Extraneous Untrusted Data With Trusted Data	33	6.58	9.8
300	Channel Accessible by Non-Endpoint	32	6.53	9.3
690	Unchecked Return Value to NULL Pointer Dereference	32	5.89	8.6
123	Write-what-where Condition	31	7.35	10.0
124	Buffer Underwrite ('Buffer Underflow')	31	6.53	9.8
304	Missing Critical Step in Authentication	31	7.40	9.8
664	Improper Control of a Resource Through its Lifetime	31	6.32	9.8
1385	Missing Origin Validation in WebSockets	31	6.76	9.7
791	Incomplete Filtering of Special Elements	31	6.57	9.4
385	Covert Timing Channel	30	6.16	8.9
202	Exposure of Sensitive Information Through Data Queries	30	6.51	8.8
565	Reliance on Cookies without Validation and Integrity Checking	29	8.29	10.0
323	Reusing a Nonce, Key Pair in Encryption	29	6.76	9.3
540	Inclusion of Sensitive Information in Source Code	29	5.54	9.3
353	Missing Support for Integrity Check	29	6.78	8.8
691	Insufficient Control Flow Management	29	6.08	8.8
226	Sensitive Information in Resource Not Removed Before Reuse	29	6.12	8.7
316	Cleartext Storage of Sensitive Information in Memory	28	5.34	9.4
776	Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion')	28	6.49	9.4
488	Exposure of Data Element to Wrong Session	28	6.44	9.1
667	Improper Locking	28	6.02	8.7
176	Improper Handling of Unicode Encoding	27	6.48	9.8
289	Authentication Bypass by Alternate Name	27	7.60	9.8
313	Cleartext Storage in a File or on Disk	27	5.67	9.1
282	Improper Ownership Management	27	6.36	8.8
356	Product UI does not Warn User of Unsafe Actions	27	7.14	8.8
525	Use of Web Browser Cache Containing Sensitive Information	27	4.59	7.7
684	Incorrect Provision of Specified Functionality	26	6.27	9.8
241	Improper Handling of Unexpected Data Type	26	5.88	8.6
41	Improper Resolution of Path Equivalence	26	5.77	8.1
757	Selection of Less-Secure Algorithm During Negotiation ('Algorithm Downgrade')	25	6.29	9.8
1230	Exposure of Sensitive Information Through Metadata	25	5.85	8.8
213	Exposure of Sensitive Information Due to Incompatible Policies	25	4.73	7.5
158	Improper Neutralization of Null Byte or NUL Character	24	6.53	10.0
782	Exposed IOCTL with Insufficient Access Control	24	7.27	10.0
1275	Sensitive Cookie with Improper SameSite Attribute	24	3.78	9.8
286	Incorrect User Management	24	6.21	9.5
1289	Improper Validation of Unsafe Equivalence in Input	24	6.51	9.3
185	Incorrect Regular Expression	24	6.39	9.3
501	Trust Boundary Violation	24	6.83	8.8
270	Privilege Context Switching Error	23	7.36	10.0
322	Key Exchange without Entity Authentication	23	7.90	9.4
115	Misinterpretation of Input	22	7.27	9.8
268	Privilege Chaining	22	6.97	9.6
233	Improper Handling of Parameters	22	6.68	9.4
83	Improper Neutralization of Script in Attributes in a Web Page	22	6.37	9.1
279	Incorrect Execution-Assigned Permissions	22	6.74	8.8
606	Unchecked Input for Loop Condition	22	6.15	8.2
778	Insufficient Logging	21	4.74	10.0
96	Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')	21	7.77	10.0
27	Path Traversal: 'dir/../../filename'	21	7.39	9.3
1300	Improper Protection of Physical Side Channels	21	6.07	9.1
758	Reliance on Undefined, Unspecified, or Implementation-Defined Behavior	21	6.34	8.8
402	Transmission of Private Resources into a New Sphere ('Resource Leak')	21	6.57	8.7
471	Modification of Assumed-Immutable Data (MAID)	21	6.18	8.6
834	Excessive Iteration	21	6.58	8.2
253	Incorrect Check of Function Return Value	20	6.68	9.8
1288	Improper Validation of Consistency within Input	20	6.42	9.4
283	Unverified Ownership	20	6.08	9.2
523	Unprotected Transport of Credentials	20	6.80	8.8
939	Improper Authorization in Handler for Custom URL Scheme	20	5.97	8.8
833	Deadlock	20	6.19	8.7
1327	Binding to an Unrestricted IP Address	19	6.68	10.0
260	Password in Configuration File	19	7.23	9.9
1240	Use of a Cryptographic Primitive with a Risky Implementation	19	6.23	9.8
1295	Debug Messages Revealing Unnecessary Information	19	5.84	9.3
708	Incorrect Ownership Assignment	19	5.78	8.1
214	Invocation of Process Using Visible Sensitive Information	19	5.69	7.9
1104	Use of Unmaintained Third Party Components	18	7.77	10.0
763	Release of Invalid Pointer or Reference	18	7.39	9.8
